dataset,seed,feature_set,model,base_model,split,n_features,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity,params
acepair_cls_2_3,72,PhysChemOnly,PhysChemOnly-LR,LR,valid,22,0.29,0.56,0.6166666666666667,0.6166666666666667,0.46896977470367573,0.6206896551724138,0.2676516895156554,0.47368421052631576,0.9,0.3333333333333333,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,72,PhysChemOnly,PhysChemOnly-LR,LR,test,22,0.29,0.574468085106383,0.6174812030075187,0.6581296992481203,0.5157938836734618,0.6153846153846154,0.252135042287904,0.48484848484848486,0.8421052631578947,0.39285714285714285,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,72,PhysChemOnly,PhysChemOnly-SVC,SVC,valid,22,0.37999999999999995,0.68,0.6888888888888889,0.6866666666666666,0.54262323904875,0.6470588235294118,0.3701780228629408,0.5789473684210527,0.7333333333333333,0.6444444444444445,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,72,PhysChemOnly,PhysChemOnly-SVC,SVC,test,22,0.37999999999999995,0.6595744680851063,0.6423872180451128,0.7112312030075187,0.5932421786885849,0.5675675675675675,0.2874892204131702,0.5833333333333334,0.5526315789473685,0.7321428571428571,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,72,PhysChemOnly,PhysChemOnly-RF,RF,valid,22,0.29,0.6666666666666666,0.6888888888888889,0.6885185185185185,0.5620740265947162,0.6575342465753424,0.3741916351883901,0.5581395348837209,0.8,0.5777777777777777,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,72,PhysChemOnly,PhysChemOnly-RF,RF,test,22,0.29,0.648936170212766,0.6799812030075187,0.7427161654135338,0.6573245797771154,0.6597938144329897,0.36541210475166336,0.5423728813559322,0.8421052631578947,0.5178571428571429,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,72,PhysChemOnly,PhysChemOnly-MLP,MLP,valid,22,0.36999999999999994,0.5333333333333333,0.5833333333333334,0.5337037037037038,0.42135083054519584,0.5882352941176471,0.1846372364689991,0.45454545454545453,0.8333333333333334,0.3333333333333333,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,72,PhysChemOnly,PhysChemOnly-MLP,MLP,test,22,0.36999999999999994,0.6170212765957447,0.6362781954887218,0.662828947368421,0.584469636978935,0.6086956521739131,0.2705299212989522,0.5185185185185185,0.7368421052631579,0.5357142857142857,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,72,PhysChemOnly,PhysChemOnly-CatBoost,CatBoost,valid,22,0.3999999999999999,0.68,0.6888888888888889,0.6596296296296297,0.5323142772677191,0.6470588235294118,0.3701780228629408,0.5789473684210527,0.7333333333333333,0.6444444444444445,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_3,72,PhysChemOnly,PhysChemOnly-CatBoost,CatBoost,test,22,0.3999999999999999,0.6914893617021277,0.6903195488721805,0.7361372180451128,0.6233684780532148,0.6419753086419753,0.37495564058832065,0.6046511627906976,0.6842105263157895,0.6964285714285714,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_3,72,Descriptor,Descriptor-LR,LR,valid,82,0.15999999999999998,0.6533333333333333,0.7,0.7533333333333334,0.5818164262301647,0.6829268292682927,0.42497294818489706,0.5384615384615384,0.9333333333333333,0.4666666666666667,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,72,Descriptor,Descriptor-LR,LR,test,82,0.15999999999999998,0.5531914893617021,0.5911654135338346,0.6790413533834586,0.5688916741356335,0.5882352941176471,0.19195317476733265,0.46875,0.7894736842105263,0.39285714285714285,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,72,Descriptor,Descriptor-SVC,SVC,valid,82,0.57,0.7866666666666666,0.7444444444444445,0.8162962962962963,0.7293764991873721,0.6666666666666666,0.5607940161280399,0.8888888888888888,0.5333333333333333,0.9555555555555556,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,72,Descriptor,Descriptor-SVC,SVC,test,82,0.57,0.6914893617021277,0.6395676691729323,0.7222744360902257,0.6623253444864282,0.49122807017543857,0.34110901789520914,0.7368421052631579,0.3684210526315789,0.9107142857142857,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,72,Descriptor,Descriptor-RF,RF,valid,82,0.6499999999999999,0.76,0.7055555555555555,0.7807407407407408,0.7541375322701561,0.5909090909090909,0.5168888495100792,0.9285714285714286,0.43333333333333335,0.9777777777777777,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,72,Descriptor,Descriptor-RF,RF,test,82,0.6499999999999999,0.6595744680851063,0.5831766917293233,0.7678571428571429,0.7000111363178169,0.30434782608695654,0.2925655803652884,0.875,0.18421052631578946,0.9821428571428571,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,72,Descriptor,Descriptor-MLP,MLP,valid,82,0.43999999999999995,0.6666666666666666,0.6333333333333333,0.6422222222222222,0.5941409715096423,0.5283018867924528,0.2833152987899314,0.6086956521739131,0.4666666666666667,0.8,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,72,Descriptor,Descriptor-MLP,MLP,test,82,0.43999999999999995,0.6382978723404256,0.6076127819548872,0.6734022556390977,0.5785257395831819,0.5,0.22658390217381016,0.5666666666666667,0.4473684210526316,0.7678571428571429,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,72,Descriptor,Descriptor-CatBoost,CatBoost,valid,82,0.6499999999999999,0.76,0.7222222222222222,0.7829629629629629,0.7264232287509951,0.64,0.4923659639173309,0.8,0.5333333333333333,0.9111111111111111,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_3,72,Descriptor,Descriptor-CatBoost,CatBoost,test,82,0.6499999999999999,0.7340425531914894,0.6921992481203008,0.7608082706766918,0.6767990839218282,0.5901639344262295,0.43880786137769445,0.782608695652174,0.47368421052631576,0.9107142857142857,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_3,72,A1FlatFull,A1FlatFull-LR,LR,valid,906,0.3,0.6933333333333334,0.7055555555555556,0.6814814814814816,0.5373896011541843,0.6666666666666666,0.40312761111737827,0.5897435897435898,0.7666666666666667,0.6444444444444445,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,72,A1FlatFull,A1FlatFull-LR,LR,test,906,0.3,0.6382978723404256,0.6583646616541354,0.6964285714285714,0.5823046145547308,0.6304347826086957,0.3143744257853341,0.5370370370370371,0.7631578947368421,0.5535714285714286,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,72,A1FlatFull,A1FlatFull-SVC,SVC,valid,906,0.3,0.76,0.7666666666666666,0.7859259259259259,0.6938213396535289,0.7272727272727273,0.5229763603684907,0.6666666666666666,0.8,0.7333333333333333,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,72,A1FlatFull,A1FlatFull-SVC,SVC,test,906,0.3,0.6914893617021277,0.7030075187969925,0.7593984962406015,0.6384161022376932,0.6666666666666666,0.3988628919408761,0.5918367346938775,0.7631578947368421,0.6428571428571429,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,72,A1FlatFull,A1FlatFull-RF,RF,valid,906,0.6399999999999999,0.7466666666666667,0.6944444444444444,0.777037037037037,0.7327595507332433,0.5777777777777777,0.4762896722078402,0.8666666666666667,0.43333333333333335,0.9555555555555556,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,72,A1FlatFull,A1FlatFull-RF,RF,test,906,0.6399999999999999,0.6702127659574468,0.6090225563909775,0.7260338345864662,0.668587924112408,0.41509433962264153,0.29219514364024374,0.7333333333333333,0.2894736842105263,0.9285714285714286,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,72,A1FlatFull,A1FlatFull-MLP,MLP,valid,906,0.59,0.72,0.6666666666666667,0.7496296296296296,0.6442817828677961,0.5333333333333333,0.408248290463863,0.8,0.4,0.9333333333333333,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,72,A1FlatFull,A1FlatFull-MLP,MLP,test,906,0.59,0.648936170212766,0.5827067669172933,0.7443609022556391,0.6559844571222851,0.35294117647058826,0.23514874545256445,0.6923076923076923,0.23684210526315788,0.9285714285714286,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,72,A1FlatFull,A1FlatFull-CatBoost,CatBoost,valid,906,0.25999999999999995,0.72,0.7222222222222222,0.7244444444444444,0.6886750216353914,0.676923076923077,0.4364357804719848,0.6285714285714286,0.7333333333333333,0.7111111111111111,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_3,72,A1FlatFull,A1FlatFull-CatBoost,CatBoost,test,906,0.25999999999999995,0.6382978723404256,0.6541353383458646,0.7208646616541352,0.6294845250063491,0.6222222222222222,0.3042928238873054,0.5384615384615384,0.7368421052631579,0.5714285714285714,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_3,72,Descriptor_A1FlatFull,Descriptor_A1FlatFull-LR,LR,valid,988,0.09,0.68,0.7222222222222222,0.7296296296296296,0.5329414564975983,0.7,0.4618802153517006,0.56,0.9333333333333333,0.5111111111111111,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,72,Descriptor_A1FlatFull,Descriptor_A1FlatFull-LR,LR,test,988,0.09,0.6276595744680851,0.6663533834586466,0.6818609022556391,0.5390533385929311,0.6534653465346535,0.3472932354456387,0.5238095238095238,0.868421052631579,0.4642857142857143,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,72,Descriptor_A1FlatFull,Descriptor_A1FlatFull-SVC,SVC,valid,988,0.36999999999999994,0.7733333333333333,0.7666666666666666,0.7955555555555556,0.6888410628631509,0.7213114754098361,0.5305892259424583,0.7096774193548387,0.7333333333333333,0.8,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,72,Descriptor_A1FlatFull,Descriptor_A1FlatFull-SVC,SVC,test,988,0.36999999999999994,0.6170212765957447,0.6066729323308271,0.7293233082706767,0.6303274161643678,0.5384615384615384,0.2117596280512488,0.525,0.5526315789473685,0.6607142857142857,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,72,Descriptor_A1FlatFull,Descriptor_A1FlatFull-RF,RF,valid,988,0.5599999999999999,0.7466666666666667,0.7,0.7659259259259258,0.7366511380161397,0.5957446808510638,0.4680458707431094,0.8235294117647058,0.4666666666666667,0.9333333333333333,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,72,Descriptor_A1FlatFull,Descriptor_A1FlatFull-RF,RF,test,988,0.5599999999999999,0.7127659574468085,0.6658834586466165,0.7387218045112781,0.6845786563562397,0.5423728813559322,0.39088392613541795,0.7619047619047619,0.42105263157894735,0.9107142857142857,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,72,Descriptor_A1FlatFull,Descriptor_A1FlatFull-MLP,MLP,valid,988,0.4099999999999999,0.7333333333333333,0.7277777777777777,0.7785185185185185,0.726929552236622,0.6774193548387096,0.4512310894918822,0.65625,0.7,0.7555555555555555,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,72,Descriptor_A1FlatFull,Descriptor_A1FlatFull-MLP,MLP,test,988,0.4099999999999999,0.6063829787234043,0.5850563909774436,0.6813909774436091,0.5727819655857845,0.4931506849315068,0.1726882270497417,0.5142857142857142,0.47368421052631576,0.6964285714285714,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,72,Descriptor_A1FlatFull,Descriptor_A1FlatFull-CatBoost,CatBoost,valid,988,0.73,0.7333333333333333,0.6777777777777778,0.7422222222222221,0.6424087077520787,0.5454545454545454,0.44703900498169014,0.8571428571428571,0.4,0.9555555555555556,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_3,72,Descriptor_A1FlatFull,Descriptor_A1FlatFull-CatBoost,CatBoost,test,988,0.73,0.6702127659574468,0.6090225563909775,0.7523496240601504,0.6831066580307028,0.41509433962264153,0.29219514364024374,0.7333333333333333,0.2894736842105263,0.9285714285714286,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_3,82,SeqOnly,SeqOnly-LR,LR,valid,130,0.57,0.6533333333333333,0.6111111111111112,0.5622222222222223,0.45929358660519226,0.48,0.24618298195866545,0.6,0.4,0.8222222222222222,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,82,SeqOnly,SeqOnly-LR,LR,test,130,0.57,0.6063829787234043,0.5723684210526316,0.6640037593984962,0.5821421715710428,0.44776119402985076,0.1537833181745162,0.5172413793103449,0.39473684210526316,0.75,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,82,SeqOnly,SeqOnly-SVC,SVC,valid,130,0.58,0.6666666666666666,0.5888888888888889,0.6718518518518518,0.6194834982544999,0.32432432432432434,0.2993924754260479,0.8571428571428571,0.2,0.9777777777777777,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,82,SeqOnly,SeqOnly-SVC,SVC,test,130,0.58,0.648936170212766,0.5827067669172933,0.6929041353383458,0.6387599591057833,0.35294117647058826,0.23514874545256445,0.6923076923076923,0.23684210526315788,0.9285714285714286,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,82,SeqOnly,SeqOnly-RF,RF,valid,130,0.4099999999999999,0.72,0.7277777777777779,0.7251851851851852,0.616950033691262,0.6865671641791045,0.44639114521707574,0.6216216216216216,0.7666666666666667,0.6888888888888889,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,82,SeqOnly,SeqOnly-RF,RF,test,130,0.4099999999999999,0.6595744680851063,0.6677631578947368,0.7598684210526316,0.6859403303771994,0.627906976744186,0.32939186215787913,0.5625,0.7105263157894737,0.625,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,82,SeqOnly,SeqOnly-MLP,MLP,valid,130,0.5299999999999999,0.6666666666666666,0.6,0.6318518518518519,0.5815893719940681,0.3902439024390244,0.27695585470349865,0.7272727272727273,0.26666666666666666,0.9333333333333333,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,82,SeqOnly,SeqOnly-MLP,MLP,test,130,0.5299999999999999,0.6276595744680851,0.5733082706766917,0.706296992481203,0.5904018259392926,0.38596491228070173,0.1791683730358674,0.5789473684210527,0.2894736842105263,0.8571428571428571,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,82,SeqOnly,SeqOnly-CatBoost,CatBoost,valid,130,0.3,0.68,0.6944444444444444,0.6918518518518518,0.5502036092954757,0.6571428571428571,0.3818813079129867,0.575,0.7666666666666667,0.6222222222222222,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_3,82,SeqOnly,SeqOnly-CatBoost,CatBoost,test,130,0.3,0.6170212765957447,0.6405075187969925,0.6917293233082706,0.6568567876935905,0.6170212765957447,0.28101503759398494,0.5178571428571429,0.7631578947368421,0.5178571428571429,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_3,82,PhysChemOnly,PhysChemOnly-LR,LR,valid,22,0.4699999999999999,0.6266666666666667,0.6666666666666667,0.6118518518518519,0.4553004844556154,0.65,0.34641016151377546,0.52,0.8666666666666667,0.4666666666666667,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,82,PhysChemOnly,PhysChemOnly-LR,LR,test,22,0.4699999999999999,0.6702127659574468,0.6936090225563909,0.7551691729323309,0.689421273559385,0.6666666666666666,0.3856805622765,0.5636363636363636,0.8157894736842105,0.5714285714285714,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,82,PhysChemOnly,PhysChemOnly-SVC,SVC,valid,22,0.41999999999999993,0.68,0.6722222222222223,0.6955555555555556,0.5423061886081841,0.6129032258064516,0.3411747262011792,0.59375,0.6333333333333333,0.7111111111111111,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,82,PhysChemOnly,PhysChemOnly-SVC,SVC,test,22,0.41999999999999993,0.6595744680851063,0.6635338345864662,0.7147556390977443,0.5814301906970333,0.6190476190476191,0.3210878656328906,0.5652173913043478,0.6842105263157895,0.6428571428571429,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,82,PhysChemOnly,PhysChemOnly-RF,RF,valid,22,0.32999999999999996,0.7066666666666667,0.7222222222222223,0.6977777777777777,0.6046387155028825,0.6857142857142857,0.4364357804719848,0.6,0.8,0.6444444444444445,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,82,PhysChemOnly,PhysChemOnly-RF,RF,test,22,0.32999999999999996,0.6382978723404256,0.6710526315789473,0.6757518796992481,0.5031512385942304,0.6530612244897959,0.34940610086690443,0.5333333333333333,0.8421052631578947,0.5,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,82,PhysChemOnly,PhysChemOnly-MLP,MLP,valid,22,0.3,0.48,0.5666666666666667,0.5307407407407407,0.41994783846407413,0.6060606060606061,0.2407717061715384,0.43478260869565216,1.0,0.13333333333333333,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,82,PhysChemOnly,PhysChemOnly-MLP,MLP,test,22,0.3,0.4148936170212766,0.50046992481203,0.6508458646616542,0.5118785470257285,0.5669291338582677,0.002055247735481765,0.4044943820224719,0.9473684210526315,0.05357142857142857,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,82,PhysChemOnly,PhysChemOnly-CatBoost,CatBoost,valid,22,0.30999999999999994,0.72,0.7333333333333334,0.7222222222222223,0.6151618291907984,0.6956521739130435,0.4576043153224294,0.6153846153846154,0.8,0.6666666666666666,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_3,82,PhysChemOnly,PhysChemOnly-CatBoost,CatBoost,test,22,0.30999999999999994,0.6170212765957447,0.6405075187969925,0.6470864661654135,0.4929678932617164,0.6170212765957447,0.28101503759398494,0.5178571428571429,0.7631578947368421,0.5178571428571429,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_3,82,Descriptor,Descriptor-LR,LR,valid,82,0.3499999999999999,0.6533333333333333,0.6388888888888888,0.5933333333333333,0.4873461694285465,0.5666666666666667,0.2777777777777778,0.5666666666666667,0.5666666666666667,0.7111111111111111,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,82,Descriptor,Descriptor-LR,LR,test,82,0.3499999999999999,0.6702127659574468,0.6724624060150376,0.7227443609022557,0.6421016625271648,0.6265060240963856,0.3388487994034758,0.5777777777777777,0.6842105263157895,0.6607142857142857,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,82,Descriptor,Descriptor-SVC,SVC,valid,82,0.5099999999999999,0.6933333333333334,0.6555555555555556,0.6222222222222221,0.5280537289217062,0.5490196078431373,0.3394500514782104,0.6666666666666666,0.4666666666666667,0.8444444444444444,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,82,Descriptor,Descriptor-SVC,SVC,test,82,0.5099999999999999,0.7127659574468085,0.6870300751879699,0.7321428571428571,0.652217084693831,0.6086956521739131,0.3904596262919893,0.6774193548387096,0.5526315789473685,0.8214285714285714,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,82,Descriptor,Descriptor-RF,RF,valid,82,0.4599999999999999,0.7333333333333333,0.7277777777777777,0.7133333333333334,0.6064104798522045,0.6774193548387096,0.4512310894918822,0.65625,0.7,0.7555555555555555,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,82,Descriptor,Descriptor-RF,RF,test,82,0.4599999999999999,0.7127659574468085,0.7081766917293233,0.7462406015037594,0.5722128081208682,0.6582278481012658,0.41201976200396545,0.6341463414634146,0.6842105263157895,0.7321428571428571,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,82,Descriptor,Descriptor-MLP,MLP,valid,82,0.4599999999999999,0.68,0.6555555555555556,0.634074074074074,0.5443727440307203,0.5714285714285714,0.32025630761017426,0.6153846153846154,0.5333333333333333,0.7777777777777778,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,82,Descriptor,Descriptor-MLP,MLP,test,82,0.4599999999999999,0.6595744680851063,0.6339285714285714,0.7241541353383458,0.5709177121424787,0.5428571428571428,0.27740750731587527,0.59375,0.5,0.7678571428571429,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,82,Descriptor,Descriptor-CatBoost,CatBoost,valid,82,0.4099999999999999,0.7466666666666667,0.7444444444444445,0.7466666666666667,0.6432087515421245,0.6984126984126984,0.4824979096371639,0.6666666666666666,0.7333333333333333,0.7555555555555555,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_3,82,Descriptor,Descriptor-CatBoost,CatBoost,test,82,0.4099999999999999,0.6170212765957447,0.6235902255639099,0.7105263157894737,0.6211374083371043,0.5813953488372093,0.2426612317857765,0.5208333333333334,0.6578947368421053,0.5892857142857143,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_3,82,A1FlatFull,A1FlatFull-LR,LR,valid,906,0.4599999999999999,0.6933333333333334,0.6722222222222223,0.6451851851851852,0.5149357881670961,0.5964912280701754,0.35154713901054874,0.6296296296296297,0.5666666666666667,0.7777777777777778,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,82,A1FlatFull,A1FlatFull-LR,LR,test,906,0.4599999999999999,0.6063829787234043,0.6019736842105263,0.6508458646616542,0.5614242357567395,0.5432098765432098,0.20090215804361872,0.5116279069767442,0.5789473684210527,0.625,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_3,82,A1FlatFull,A1FlatFull-SVC,SVC,valid,906,0.3499999999999999,0.7333333333333333,0.7444444444444445,0.7344444444444445,0.611406505685569,0.7058823529411765,0.4790539119402764,0.631578947368421,0.8,0.6888888888888889,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,82,A1FlatFull,A1FlatFull-SVC,SVC,test,906,0.3499999999999999,0.648936170212766,0.650375939849624,0.6997180451127819,0.6079716401621992,0.6024096385542169,0.2954539940302786,0.5555555555555556,0.6578947368421053,0.6428571428571429,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_3,82,A1FlatFull,A1FlatFull-RF,RF,valid,906,0.3,0.6933333333333334,0.7166666666666667,0.7296296296296296,0.6381733832851748,0.684931506849315,0.42921981683374155,0.5813953488372093,0.8333333333333334,0.6,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,82,A1FlatFull,A1FlatFull-RF,RF,test,906,0.3,0.6276595744680851,0.6663533834586466,0.7457706766917294,0.6763878703130005,0.6534653465346535,0.3472932354456387,0.5238095238095238,0.868421052631579,0.4642857142857143,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_3,82,A1FlatFull,A1FlatFull-MLP,MLP,valid,906,0.4799999999999999,0.7333333333333333,0.6833333333333333,0.7244444444444444,0.6038365258440206,0.5652173913043478,0.43848255284850546,0.8125,0.43333333333333335,0.9333333333333333,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,82,A1FlatFull,A1FlatFull-MLP,MLP,test,906,0.4799999999999999,0.6382978723404256,0.5991541353383458,0.6959586466165413,0.6027988186156601,0.46875,0.21756323549671389,0.5769230769230769,0.39473684210526316,0.8035714285714286,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_3,82,A1FlatFull,A1FlatFull-CatBoost,CatBoost,valid,906,0.35999999999999993,0.7333333333333333,0.7222222222222222,0.7303703703703703,0.6258704788984019,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.7777777777777778,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_3,82,A1FlatFull,A1FlatFull-CatBoost,CatBoost,test,906,0.35999999999999993,0.6595744680851063,0.6635338345864662,0.6964285714285714,0.6382366726590566,0.6190476190476191,0.3210878656328906,0.5652173913043478,0.6842105263157895,0.6428571428571429,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
